Geography,Mapping Column Header,Source,Authoritative Source - Statutory / Regulatory / Contractual / Industry Framework,Set Theory Relationship Mapping (STRM),URL - Authoritative Source
Universal,"AICPA
TSC 2017
(with 2022 revised POF)",AICPA,Service Organization Control - Trust Services Criteria (TSC) - SOC2 (2022 points of focus),https://securecontrolsframework.com/content/strm/scf-strm-general-aicpa-tsc-2017.pdf,https://www.aicpa-cima.com/resources/download/2017-trust-services-criteria-with-revised-points-of-focus-2022
Universal,"BSI 
Standard 200-1",BSI,Standard 200-1,,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/BSI-Standards/BSI-Standard-200-1-Managementsysteme-fuer-Informationssicherheit/bsi-standard-200-1-managementsysteme-fuer-informationssicherheit_node.html
Universal,"CIS
CSC
v8.1",CIS,Critical Security Controls (CSC) version 8.1,https://securecontrolsframework.com/content/strm/scf-strm-general-cis-csc-8-1.pdf,https://www.cisecurity.org/controls/v8-1
Universal,"CIS
CSC v8.1
IG1",CIS,Critical Security Controls (CSC) version 8.1 - IG1,https://securecontrolsframework.com/content/strm/scf-strm-general-cis-csc-8-1.pdf,https://www.cisecurity.org/controls/v8-1
Universal,"CIS
CSC v8.1
IG2",CIS,Critical Security Controls (CSC) version 8.1 - IG2,https://securecontrolsframework.com/content/strm/scf-strm-general-cis-csc-8-1.pdf,https://www.cisecurity.org/controls/v8-1
Universal,"CIS
CSC v8.1
IG3",CIS,Critical Security Controls (CSC) version 8.1 - IG3,https://securecontrolsframework.com/content/strm/scf-strm-general-cis-csc-8-1.pdf,https://www.cisecurity.org/controls/v8-1
Universal,"COBIT
2019",ISACA,Control Objectives for Information and Related Technologies (COBIT) 2019,,https://store.isaca.org/s/store#/store/browse/detail/a2S4w000004Ko9ZEAS
Universal,"COSO
v2017",COSO,Committee of Sponsoring Organizations (COSO) 2017 Framework,,https://www.coso.org/_files/ugd/3059fc_61ea5985b03c4293960642fdce408eaa.pdf
Universal,"CSA
CCM
v4",CSA,Cloud Controls Matrix (CCM) v4,,https://cloudsecurityalliance.org/group/cloud-controls-matrix/#_overview
Universal,"CSA
IoT SCF
v2",CSA,CSA IoT Security Controls Framework v2,,https://cloudsecurityalliance.org/artifacts/csa-iot-security-controls-framework-v2/
Universal,"ENISA
v2.0",EU,European Union Agency for Network and Information Security (ENISA),,https://resilience.enisa.europa.eu/article-13/guideline-for-minimum-security-measures/Article_13a_ENISA_Technical_Guideline_On_Security_Measures_v2_0.pdf
Universal,GAPP,AICPA,Generally Accepted Privacy Principles (GAPP),,https://www.scribd.com/document/92949889/10-229-AICPA-CICA-Privacy-Maturity-Model-Finale-Book
Universal,"IEC TR 60601-4-5
v2021",IEC,IEC TR 60601-4-5:2021,https://securecontrolsframework.com/content/strm/scf-strm-general-iec-tr-60601-4-5.pdf,https://webstore.iec.ch/publication/64703
Universal,IEC 62443-4-2,IEC,"IEC 62443-4-2:2019 - Security for industrial automation and control systems 
Part 4-2: Technical security requirements for IACS components",,https://webstore.iec.ch/publication/34421
Universal,"ISO/SAE
21434
v2021",IEC,ISO/SAE 21434:2021 - Road vehicles — Cybersecurity engineering,,https://www.iso.org/standard/70918.html
Universal,"ISO
22301
v2019",ISO,22301:2019 - Security and resilience — Business continuity management systems — Requirements,,https://www.iso.org/standard/75106.html
Universal,"ISO
27001
v2013",ISO,27001:2013 - Information Security Management Systems (ISMS) - Requirements,,https://www.iso.org/standard/54534.html
Universal,"ISO
27001
v2022",ISO,27001:2022 - Information Security Management Systems (ISMS) - Requirements,https://securecontrolsframework.com/content/strm/scf-strm-general-iso-27001-2022.pdf,https://www.iso.org/standard/27001
Universal,"ISO
27002
v2013",ISO,27002:2013 - Code of Practice for Information Security Controls,,https://www.iso.org/standard/54533.html
Universal,"ISO
27002
v2022",ISO,"27002:2022 - Information security, cybersecurity and privacy protection - Information security controls",https://securecontrolsframework.com/content/strm/scf-strm-general-iso-27002-2022.pdf,https://www.iso.org/standard/75652.html
Universal,"ISO 
27017
v2015",ISO,27017:2015 - Information technology — Security techniques — Code of practice for information security controls based on ISO/IEC 27002 for cloud services,,https://www.iso.org/standard/43757.html
Universal,"ISO 
27018
v2014",ISO,27018:2014 - Code of Practice for PI in Public Clouds Acting as PI Processors ,,https://www.iso.org/standard/61498.html
