#,Principle Name,SCF Data Privacy Management Principle (SCF-DPMP) Description,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","AICPA
TSC 2017:2022 (used for SOC 2)","APEC
Privacy Framework
2015",GAPP,"ISO
27701 
2025","ISO
29100
2024","NIST Privacy Framework
1.0","NIST
800-53
R5","NIST
800-53B R5
(privacy)","NIST
CSF
2.0","OECD
Privacy Principles","US
Data Privacy Framework (DPF)","US
FIPPS","US
HIPAA Administrative Simplification
2013","US - AK
PIPA","US - CA
CCPA
2025","US - CO
Colorado Privacy Act","US - IL
BIPA","US - IL
IPA","US - IL
PIPA","US - NV
SB220","US - OR
CPA","US - TN
Tennessee Information Protection Act ","US - TX
BC521","US - VA
CDPA
2025","US - VT
Act 171 of 2018","EMEA
EU
GDPR","EMEA
Saudi Arabia
Personal Data Protection Law (PDPL)","APAC
Australia
Privacy Act","APAC
Australian Privacy Principles","APAC
India
DPDPA 2023","APAC
New Zealand Privacy Act of 2020","Americas
Canada
PIPEDA"
1,Data Privacy by Design,"Establish and maintain a comprehensive data privacy program that ensures data privacy considerations are addressed by design in the development of policies, standards, processes, systems, applications, projects and third-party contracts. ",Cybersecurity & Data Protection Governance Program ,GOV-01,Mechanisms exist to facilitate the implementation of cybersecurity and data protection governance controls.,"CC1.1
CC1.1-POF1
CC1.2
CC2.3-POF5",,8.2.1,"5.1
6.1.3(c)
7.5.1",,"GV.PO-P1
GV.PO-P6",PM-1,,"GV
GV.RM-01
GV.RM-03
GV.RR-01
GV.SC
GV.SC-01
GV.SC-03
GV.SC-09
ID.RA
PR
PR.IR",,,,"164.306(a)(1)
164.306(a)(2)
164.306(a)(3)
164.316(a)
164.530(c)(1)",45.48.530,7123(b)(1),,,,,,,,521.052,,"2447(a)
2447(a)(1)
2447(a)(1)(A)
2447(a)(1)(B)
2447(a)(1)(C)
2447(a)(1)(D)
2447(a)(2)
2447(b)
2447(c)
2447(c)(1)
2447(c)(1)(A)
2447(c)(1)(A)(i)
2447(c)(1)(A)(ii)
2447(c)(1)(A)(iii)
2447(c)(1)(A)(iv)
2447(c)(1)(A)(v)",,,"APP Part 1
APP Part 11",,,,Principle 7
,,,Data Privacy Program,PRI-01,"Mechanisms exist to facilitate the implementation and operation of data protection controls throughout the data lifecycle to ensure all forms of Personal Data (PD) are processed lawfully, fairly and transparently.","CC1.3-POF6
CC2.3-POF7
CC8.1-POF17
CC8.1-POF18
P1.0","1
9",,"4.4
5.1
6.1.1
6.1.1(a)
6.1.1(b)
6.1.3(h)
6.2
6.2(a)
6.2(b)
6.2(c)
6.2(d)
6.2(e)
6.2(f)
6.2(g)
6.3
7.1
7.4
7.5.1
7.5.1(a)
7.5.1(b)
7.5.2
7.5.3",6.10,"GV.PO-P1
GV.PO-P5
GV.PO-P6
CT.PO-P2
CM.PO-P1
CM.AW-P2
PR.PO-P9","PM-18
PT-1","PM-18
PT-1",GV.OC-03,8,III.15.a,2,"164.502(a)
164.530(a)(1)(i)
164.530(i)(1)",,7002(a),"6-1-1305(2)
6-1-1305(7)
6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)
6-1-1308(6)
6-1-105(1)(nnn)",,,,,,,,59.1-578.A.3,,"12.2
5.1(a)
9.1",11.2,"Inferred
Expectation",APP 1,,,"Principle 1
Principle 8"
,,,Dissemination of Data Privacy Program Information ,PRI-01.3,"Mechanisms exist to: 
(1) Ensure that the public has access to information about organizational data privacy activities and can communicate with its Chief Privacy Officer (CPO) or similar role;
(2) Ensure that organizational data privacy practices are publicly available through organizational websites or document repositories; 
(3) Utilize publicly facing email addresses and/or phone lines to enable the public to provide feedback and/or direct questions to data privacy office(s) regarding data privacy practices; and
(4) Inform data subjects when changes are made to the privacy notice and the nature of such changes.","P1.1
P1.1-POF6",,"2.1.1
2.2.1
2.2.2
2.2.3
3.1.0
3.1.1
3.1.2
4.1.0
4.1.1
4.2.4
5.1.0
5.1.1
6.1.0
7.1.0
7.1.1
8.1.0
8.1.1
9.1.0
9.1.1
10.1.0
10.1.1","6.2(e)
7.4
7.5.3(a)",6.8,"GV.PO-P1
CM.PO-P1
CM.AW-P1",PM-20,PM-20,,6,,8,,,,,,,,,7(1)(a)(B),,,59.1-581.A.2,,,,,APP 1,,,
,,,Reasonable Data Privacy Practices,PRI-01.11,"Mechanisms exist to limit the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of Personal Data (PD) according to reasonable consumer expectations for what is necessary and proportionate.",,"2-1
2-2",,,"6.5
6.8
6.10",,,,,,,"2
4",,,"7002(b)
7002(b)(1)
7002(b)(2)
7002(b)(3)
7002(d)
7002(d)(1)
7002(d)(2)
7027(m)
7027(m)(1)
7027(m)(2)
7027(m)(3)
7027(m)(4)
7027(m)(5)
7027(m)(6)
7027(m)(7)
7027(m)(8)",,,,,,,,,"59.1-577.1.B
59.1-577.1.C
59.1-577.1.E
59.1-578.A.4
59.1-578.F.1.d
59.1-578.F.2
59.1-579.A.1
59.1-579.A.2
59.1-579.A.3",,,,,,,,
1.1,Assigned Responsibilities,"Assign accountability through documented roles and responsibilities to qualified data subjects, including key internal and external stakeholders, for maintaining compliance with all applicable data privacy requirements that involves appropriately monitoring and documenting the data privacy program.",Data Privacy Program,PRI-01,"Mechanisms exist to facilitate the implementation and operation of data protection controls throughout the data lifecycle to ensure all forms of Personal Data (PD) are processed lawfully, fairly and transparently.","CC1.3-POF6
CC2.3-POF7
CC8.1-POF17
CC8.1-POF18
P1.0","1
9",,"4.4
5.1
6.1.1
6.1.1(a)
6.1.1(b)
6.1.3(h)
6.2
6.2(a)
6.2(b)
6.2(c)
6.2(d)
6.2(e)
6.2(f)
6.2(g)
6.3
7.1
7.4
7.5.1
7.5.1(a)
7.5.1(b)
7.5.2
7.5.3",6.10,"GV.PO-P1
GV.PO-P5
GV.PO-P6
CT.PO-P2
CM.PO-P1
CM.AW-P2
PR.PO-P9","PM-18
PT-1","PM-18
PT-1",GV.OC-03,8,III.15.a,2,"164.502(a)
164.530(a)(1)(i)
164.530(i)(1)",,7002(a),"6-1-1305(2)
6-1-1305(7)
6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)
6-1-1308(6)
6-1-105(1)(nnn)",,,,,,,,59.1-578.A.3,,"12.2
5.1(a)
9.1",11.2,"Inferred
Expectation",APP 1,,,"Principle 1
Principle 8"
,,,Chief Privacy Officer (CPO),PRI-01.1,"Mechanisms exist to appoints a Chief Privacy Officer (CPO) or similar role, with the authority, mission, accountability and resources to coordinate, develop and implement, applicable data privacy requirements and manage data privacy risks through the organization-wide data privacy program.",,9,"1.1.0
1.1.2
1.2.1
1.2.2
1.2.8
1.2.9
2.1.0
4.2.3
8.2.1","5.1
5.3",6.10,GV.PO-P5,PM-19,PM-19,,8,,2,164.530(a)(1)(i),,,"6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)
6-1-1308(6)",,,,,,,,,,,,,,,,
,,,Data Protection Officer (DPO),PRI-01.4,"Mechanisms exist to appoint a Data Protection Officer (DPO):
(1) Based on professional qualifications; and
(2) To be involved in all issues related to how Personal Data (PD) is collected, received, processed, stored, transmitted, shared, updated and/or disposed.",,,,,6.10,"GV.PO-P5
CT.PO-P2
CM.PO-P2",,,,,,,164.530(a)(1)(ii),,,"6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)
6-1-1308(6)",,,,,,,,,,"27.1
27.3
27.4
27.5
35.2
37.1
37.1(a)
37.1(b)
37.1(c)
37.2
37.3
37.4
37.5
37.6
37.7
38.1
38.2
38.3
38.4
38.5
38.6
39.1
39.1(a)
39.1(b)
39.1(c)
39.1(d)
39.1(e)
39.2",30.2,,,"10(2)(a)
10(2)(a)(iv)",,Sec 6
1.2,Data Classification,"Classify data according to the sensitivity and type of personal data as defined by appropriate statutory, regulatory and contractual contexts.",Data & Asset Classification ,DCH-02,"Mechanisms exist to ensure data and assets are categorized in accordance with applicable statutory, regulatory and contractual requirements. ","C1.1
CC2.1
CC2.1-POF7
CC6.1-POF1",,,,,,,,"ID.AM-05
PR.DS",,,,,,7123(c)(4)(A),,,,,,,,,,,,,,,,,
,,,Personal Data (PD) Categories,PRI-05.7,Mechanisms exist to define and implement data handling and protection requirements for specific categories of sensitive Personal Data (PD).,,,,,,,"PT-7
PT-7(1)
PT-7(2)","PT-7
PT-7(1)
PT-7(2)",,,,,,,"7024(j)
7024(l)",,,,,,"5(4)(a)
5(4)(e)",,,59.1-578.C.4,,"13.1(e)
14.1(d)",,,APP 9,,,
1.3,Registering Databases,"Register applicable databases containing personal data with the appropriate Data Authority, when required.",Register As A Data Controller and/or Data Processor,PRI-15,"Mechanisms exist to register as a data controller and/or data processor, including registering databases containing Personal Data (PD) with the appropriate Data Authority, when necessary.",,,,,,,,,,,,,,,,,,,,,,,,,"2446(a)
2446(a)(1)
2446(a)(2)
2446(a)(3)
2446(a)(3)(A)
2446(a)(3)(B)
2446(a)(3)(B)(i)
2446(a)(3)(B)(ii)
2446(a)(3)(B)(iii)
2446(a)(3)(C)
2446(a)(3)(D)
2446(a)(3)(E)
2446(a)(3)(F)
2446(a)(3)(G)",,,,,,,
1.4,Resource Planning,"Identify and plan for resources needed to operate a data privacy program and include data privacy requirements in solicitations for Technology Assets, Applications and/or Services (TAAS).",Cybersecurity & Data Protection Portfolio Management,PRM-01,Mechanisms exist to facilitate the implementation of cybersecurity and data protection-related resource planning controls that define a viable plan for achieving cybersecurity and data protection objectives.,"CC2.2
CC3.1
CC3.1-POF4
CC3.4
CC5.2",,,7.1,,,PL-1,PL-1,"GV.RM
GV.RR-03",,,,,,,,,,,,,,,,,,,,,,,
1.5,Inventory of Personal Data,"Maintain an inventory of both the type of personal data and specific data element, as well as the Technology Assets, Applications and/or Services (TAAS) that collect, create, use, disseminate, maintain, and/or disclose that personal data.",Inventory of Personal Data (PD),PRI-05.5,"Mechanisms exist to establish and maintain a current inventory of all Technology Assets, Applications and/or Services (TAAS) that collect, receive, process, store, transmit, share, update and/or dispose Personal Data (PD).",,,7.2.2,,,"ID.IM-P1
ID.IM-P3
ID.IM-P6",PM-5(1),PM-5(1),ID.AM-07,,,,,,7123(c)(4)(A),,,,,,,,,,,,,,,,,
,,,Personal Data (PD) Inventory Automation Support,PRI-05.6,Automated mechanisms exist to determine if Personal Data (PD) is maintained in electronic form.,,,,,,"ID.IM-P1
ID.IM-P3
ID.IM-P6",PM-5(1),PM-5(1),,,,,,,,,,,,,,,,,,,,,,,,
1.6,Data Privacy Training,Provide recurring data privacy awareness and training for all employees and contractors.,Cybersecurity & Data Protection-Minded Workforce ,SAT-01,Mechanisms exist to facilitate the implementation of security workforce development and awareness controls. ,"CC1.4
CC1.4-POF3
CC2.2-POF12
CC2.2-POF8",,,,,"GV.AT-P1
GV.AT-P2
GV.AT-P3
GV.AT-P4","AT-1
PM-13",AT-1,PR.AT,,,,164.308(a)(5)(i),,7123(c)(12),,,,,,,,,,"2447(b)(2)(A)
2447(c)(8)",,,,,,,
,,,Cybersecurity & Data Protection Awareness Training,SAT-02,Mechanisms exist to provide all employees and contractors appropriate awareness education and training that is relevant for their job function. ,"CC1.4-POF7
CC2.2-POF12
CC2.2-POF8",,,,,"GV.AT-P1
GV.AT-P2
GV.AT-P3",AT-2,AT-2,"PR.AT
PR.AT-01",,,,"164.308(a)(5)(i)
164.530(b)(2)(i)
164.530(b)(2)(i)(A)
164.530(b)(2)(i)(B)
164.530(b)(2)(i)(C)
164.530(b)(2)(ii)",,"7100(a)
7123(c)(12)
7123(c)(13)",,,,,,,,,,"2447(b)(2)(A)
2447(c)(8)",,,,,,,
,,,Simulated Cyber Attack Scenario Training,SAT-02.1,Mechanisms exist to include simulated actual cyber-attacks through practical exercises that are aligned with current threat scenarios.,,,,,,,"AT-2(1)
AT-6",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Role-Based Cybersecurity & Data Protection Training ,SAT-03,"Mechanisms exist to provide role-based cybersecurity and data protection-related training: 
(1) Before authorizing access to the system or performing assigned duties; 
(2) When required by system changes; and 
(3) Annually thereafter.","CC1.4-POF7
CC2.2-POF12
CC2.2-POF13",,,7.2,6.10,"GV.AT-P1
GV.AT-P2
GV.AT-P3","AT-3
AT-3(2)",AT-3,"PR.AT
PR.AT-01
PR.AT-02",,,2,"164.308(a)(5)(ii)(C)
164.308(a)(5)(ii)(D)
164.530(b)(1)",,"7100(a)
7123(c)(12)
7123(c)(13)",,,,,,,,,,"2447(b)(2)(A)
2447(c)(8)",,,,,,,
,,,Practical Exercises ,SAT-03.1,Mechanisms exist to include practical exercises in cybersecurity and data protection training that reinforce training objectives.,,,,,,,AT-3(3),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Suspicious Communications & Anomalous System Behavior,SAT-03.2,Mechanisms exist to provide training to personnel on organization-defined indicators of malware to recognize suspicious communications and anomalous behavior.,"CC2.2-POF13
CC2.3-POF12",,,,,,"AT-2(4)
AT-2(5)",,,,,,164.308(a)(5)(ii)(B),,,,,,,,,,,,2447(c)(4),,,,,,,
,,,"Sensitive / Regulated Data Storage, Handling & Processing",SAT-03.3,"Mechanisms exist to ensure that every user accessing a system processing, storing or transmitting sensitive/regulated data is formally trained in data handling requirements.",CC2.2-POF9,,"1.1.1
1.2.10",,6.10,,AT-3(5),AT-3(5),,,,2,,,"7100(a)
7123(c)(12)
7123(c)(13)",,,,,,,,,,2447(c)(8),,,,,,,
,,,Cyber Threat Environment,SAT-03.6,Mechanisms exist to provide role-based cybersecurity and data protection awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.,CC2.2-POF8,,,,,,AT-2(6),,ID.RA-03,,,,164.308(a)(5)(ii)(A),,"7123(c)(12)
7123(c)(13)",,,,,,,,,,,,,,,,,
,,,Cybersecurity & Data Protection Training Records ,SAT-04,"Mechanisms exist to document, retain and monitor individual training activities, including basic cybersecurity and data protection awareness training, ongoing awareness training and specific-system training.",,,,,,,AT-4,AT-4,,,,,,,"7123(c)(12)
7123(c)(13)",,,,,,,,,,,,,,,,,
1.7,Personal Data Categories,Define and implement data handling and protection requirements for specific categories of sensitive Personal Data (PD).,Personal Data (PD) Categories,PRI-05.7,Mechanisms exist to define and implement data handling and protection requirements for specific categories of sensitive Personal Data (PD).,,,,,,,"PT-7
PT-7(1)
PT-7(2)","PT-7
PT-7(1)
PT-7(2)",,,,,,,"7024(j)
7024(l)",,,,,,"5(4)(a)
5(4)(e)",,,59.1-578.C.4,,"13.1(e)
14.1(d)",,,APP 9,,,
1.8,Data Subject Communications,"Craft disclosures and communications to data subjects so the material is readily accessible and written in a manner that is concise, unambiguous and understandable by a reasonable person.",Data Subject Communications,PRI-17,"Mechanisms exist to craft disclosures and communications to data subjects in a manner that is concise, unambiguous and understandable by a reasonable person.",P6.7-POF3,,,,,,,,,,,,,,"7003(a)
7004(a)(3)
7222(b)
7222(b)(1)
7222(b)(2)
7222(b)(3)
7222(b)(3)(A)
7222(b)(4)
7222(b)(4)(A)
7222(c)
7222(c)(1)
7222(c)(2)
7222(c)(2)(A)
7222(c)(2)(B)
7222(c)(2)(C)
7222(d)
7222(e)
7222(f)
7222(g)
7222(h)
7222(i)
7222(j)
7222(k)",,,,,,,,,59.1-577.B.2,,,,,,,,
1.9,Conspicuous Link To Data Privacy Notice,Design websites and mobile applications to include a conspicuous link to the organization's data privacy notice.,Conspicuous Link To Data Privacy Notice,PRI-17.1,Mechanisms exist to include a conspicuous link to the organization's data privacy notice on all consumer-facing websites and mobile applications.,,,,,,,,,,,,,,,"7003(c)
7003(d)",,,,,,,,,,,,,,,,,
1.10,Notice of Financial Incentive,"Provide data subjects with a Notice of Financial Incentive that explains the material terms of a financial incentive, price or service difference so the data subject can make an informed decision about whether to participate.",Notice of Financial Incentive,PRI-17.2,"Mechanisms exist to provide data subjects with a Notice of Financial Incentive that explains the material terms of a financial incentive, price or service difference so the data subject can make an informed decision about whether to participate.",,,,,,,,,,,,,,,"7010(g)
7080(e)",,,,,,,,,,,,,,,,,
