#,ERL #,Area of Focus,Documentation Artifact,Artifact Description,SCF Control Mappings,"Relevant
CMMC 2.0 L2 Control"
1,E-GOV-01,Cybersecurity & Data Protection Management,Charter - Cybersecurity Program,Documented evidence of a charter to establish and resource the organization's cybersecurity program.,GOV-01,
2,E-GOV-02,Cybersecurity & Data Protection Management,Charter - Data Privacy Program,Documented evidence of a charter to establish and resource the organization's data privacy program.,"GOV-01
PRI-01",
3,E-GOV-03,Cybersecurity & Data Protection Management,Charter - Cybersecurity Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of cybersecurity management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.1
GOV-01.2",
4,E-GOV-04,Cybersecurity & Data Protection Management,Charter - Data Privacy Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of privacy management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
5,E-GOV-05,Cybersecurity & Data Protection Management,Charter - Audit Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of internal and external audit management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
6,E-GOV-06,Cybersecurity & Data Protection Management,Charter - Risk Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of risk management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
7,E-GOV-07,Cybersecurity & Data Protection Management,Charter - Data Management Board (DMB),Documented evidence of the organization's Data Management Board (DMB) charter and mission.,GOV-01.2,
8,E-GOV-08,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Policies,Documented evidence of an appropriately-scoped cybersecurity & data protection policies. Policies are high-level statements of management intent from an organization's executive leadership that are designed to influence decisions and guide the organization to achieve the desired outcomes. Policies are enforced by standards and further implemented by procedures to establish actionable and accountable requirements.,"GOV-02
PRI-01","AC.L1-3.1.1
AC.L1-3.1.2
AC.L1-3.1.20
AC.L1-3.1.22
AC.L2-3.1.7
AC.L2-3.1.9
AC.L2-3.1.10
AC.L2-3.1.11
AC.L2-3.1.12
AC.L2-3.1.13
AC.L2-3.1.14
AC.L2-3.1.15
AC.L2-3.1.16
AC.L2-3.1.17
AC.L2-3.1.18
AC.L2-3.1.19
AC.L2-3.1.21
AC.L2-3.1.3
AC.L2-3.1.4
AC.L2-3.1.5
AC.L2-3.1.6
AC.L2-3.1.8
AT.L2-3.2.1
AT.L2-3.2.2
AT.L2-3.2.3
AT.L2-3.2.3
AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AU.L2-3.3.7
AU.L2-3.3.8
AU.L2-3.3.8
AU.L2-3.3.9
AU.L2-3.3.9
CA.L2-3.12.1
CA.L2-3.12.3
CA.L2-3.12.4
CM.L2-3.4.1
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.6
CM.L2-3.4.8
CM.L2-3.4.9
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.4
IA.L2-3.5.5
IA.L2-3.5.6
IA.L2-3.5.7
IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.8
IA.L2-3.5.9
IA.L2-3.5.9
IR.L2-3.6.1
IR.L2-3.6.1
IR.L2-3.6.2
MA.L2-3.7.2
MA.L2-3.7.4
MP.L1-3.8.3
MP.L2-3.8.1
MP.L2-3.8.1
MP.L2-3.8.1
MP.L2-3.8.6
MP.L2-3.8.7
MP.L2-3.8.7
MP.L2-3.8.8
MP.L2-3.8.8
PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5
PS.L2-3.9.1
PS.L2-3.9.2
RA.L2-3.11.2
SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.10
SC.L2-3.13.12
SC.L2-3.13.12
SC.L2-3.13.13
SC.L2-3.13.13
SC.L2-3.13.14
SC.L2-3.13.15
SC.L2-3.13.2
SC.L2-3.13.2
SC.L2-3.13.3
SC.L2-3.13.9
SI.L1-3.14.1
SI.L1-3.14.4
SI.L1-3.14.4
SI.L1-3.14.5
SI.L1-3.14.5
SI.L2-3.14.3
SI.L2-3.14.6
SI.L2-3.14.6
SI.L2-3.14.7"
9,E-GOV-09,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Standards,"Documented evidence of an appropriately-scoped cybersecurity & data protection standards. Standards are mandatory requirements regarding processes, actions and configurations. Standards are intended to be granular and prescriptive to ensure Technology Assets, Applications and/or Services (TAAS) are designed and operated to include appropriate cybersecurity & data protection protections",GOV-02,"AC.L1-3.1.1
AC.L1-3.1.2
AC.L1-3.1.20
AC.L1-3.1.22
AC.L2-3.1.7
AC.L2-3.1.9
AC.L2-3.1.10
AC.L2-3.1.11
AC.L2-3.1.12
AC.L2-3.1.13
AC.L2-3.1.14
AC.L2-3.1.15
AC.L2-3.1.16
AC.L2-3.1.17
AC.L2-3.1.18
AC.L2-3.1.19
AC.L2-3.1.21
AC.L2-3.1.3
AC.L2-3.1.4
AC.L2-3.1.5
AC.L2-3.1.6
AC.L2-3.1.8
AT.L2-3.2.1
AT.L2-3.2.2
AT.L2-3.2.3
AT.L2-3.2.3
AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AU.L2-3.3.7
AU.L2-3.3.8
AU.L2-3.3.8
AU.L2-3.3.9
AU.L2-3.3.9
CA.L2-3.12.1
CA.L2-3.12.3
CA.L2-3.12.4
CM.L2-3.4.1
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.6
CM.L2-3.4.8
CM.L2-3.4.9
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.4
IA.L2-3.5.5
IA.L2-3.5.6
IA.L2-3.5.7
IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.8
IA.L2-3.5.9
IA.L2-3.5.9
IR.L2-3.6.1
IR.L2-3.6.1
IR.L2-3.6.2
MA.L2-3.7.2
MA.L2-3.7.4
MP.L1-3.8.3
MP.L2-3.8.1
MP.L2-3.8.1
MP.L2-3.8.1
MP.L2-3.8.6
MP.L2-3.8.7
MP.L2-3.8.7
MP.L2-3.8.8
MP.L2-3.8.8
PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5
PS.L2-3.9.1
PS.L2-3.9.2
RA.L2-3.11.2
SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.10
SC.L2-3.13.12
SC.L2-3.13.12
SC.L2-3.13.13
SC.L2-3.13.13
SC.L2-3.13.14
SC.L2-3.13.15
SC.L2-3.13.2
SC.L2-3.13.2
SC.L2-3.13.3
SC.L2-3.13.9
SI.L1-3.14.1
SI.L1-3.14.4
SI.L1-3.14.4
SI.L1-3.14.5
SI.L1-3.14.5
SI.L2-3.14.3
SI.L2-3.14.6
SI.L2-3.14.6
SI.L2-3.14.7"
10,E-GOV-10,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Controls,"Documented evidence of an appropriately-scoped cybersecurity & data protection controls. Controls are technical, administrative or physical safeguards. Controls are the nexus used to manage risks through preventing, detecting or lessening the ability of a particular threat from negatively impacting business processes. Controls directly map to standards, since control testing is designed to measure specific aspects of how standards are actually implemented.","GOV-09
CPL-01
CPL-01.2
BCD-13
BCD-13.1
SEA-01.1
SEA-01.2",
