"THREAT CATALOG use case: What natural and man-made threats affect control execution? (e.g., if the threat materializes, will the control function as expected?)",,,,,,,
* Definition of threat,,,,,,,
noun A person or thing likely to cause damage or danger.,,,,,,,
verb To indicate impending damage or danger.,,,,,,,
,,,,,,,
Threat Grouping,Threat #,Threat*,Threat Description,"Materiality Considerations
If this threat materialized, would it potentially exceed the following financial impacts for the organization?",,,
,,,,≥ 5% of pre-tax income,≥ 0.5% of total assets,≥ 1% of total equity,≥ 0.5% of total revenue
Natural Threat,NT-1,Drought & Water Shortage,"Regardless of geographic location, periods of reduced rainfall are expected. For non-agricultural industries, drought may not be impactful to operations until it reaches the extent of water rationing.",Unknown,Unknown,Unknown,Unknown
,NT-2,Earthquakes,"Earthquakes are sudden rolling or shaking events caused by movement under the earth’s surface. Although earthquakes usually last less than one minute, the scope of devastation can be widespread and have long-lasting impact.",Unknown,Unknown,Unknown,Unknown
,NT-3,Fire & Wildfires,"Regardless of geographic location or even building material, fire is a concern for every business. When thinking of a fire in a building, envision a total loss to all technology hardware, including backup tapes, and all paper files being consumed in the fire.",Unknown,Unknown,Unknown,Unknown
,NT-4,Floods,"Flooding is the most common of natural hazards and requires an understanding of the local environment, including floodplains and the frequency of flooding events. Location of critical technologies should be considered (e.g., server room is in the basement or first floor of the facility).",Unknown,Unknown,Unknown,Unknown
,NT-5,Hurricanes & Tropical Storms,"Hurricanes and tropical storms are among the most powerful natural disasters because of their size and destructive potential. In addition to high winds, regional flooding and infrastructure damage should be considered when assessing hurricanes and tropical storms.",Unknown,Unknown,Unknown,Unknown
,NT-6,Landslides & Debris Flow,"Landslides occur throughout the world and can be caused by a variety of factors including earthquakes, storms, volcanic eruptions, fire, and by human modification of land. Landslides can occur quickly, often with little notice. Location of critical technologies should be considered (e.g., server room is in the basement or first floor of the facility).",Unknown,Unknown,Unknown,Unknown
,NT-7,Pandemic (Disease) Outbreaks,"Due to the wide variety of possible scenarios, consideration should be given both to the magnitude of what can reasonably happen during a pandemic outbreak (e.g., COVID-19, Influenza, SARS, Ebola, etc.) and what actions the business can be taken to help lessen the impact of a pandemic on operations.",Unknown,Unknown,Unknown,Unknown
,NT-8,Severe Weather,Severe weather is a broad category of meteorological events that include events that range from damaging winds to hail. ,Unknown,Unknown,Unknown,Unknown
,NT-9,Space Weather,"Space weather includes natural events in space that can affect the near-earth environment and satellites. Most commonly, this is associated with solar flares from the Sun, so an understanding of how solar flares may impact the business is of critical importance in assessing this threat.",Unknown,Unknown,Unknown,Unknown
,NT-10,Thunderstorms & Lightning,"Thunderstorms are most prevalent in the spring and summer months and generally occur during the afternoon and evening hours, but they can occur year-round and at all hours. Many hazardous weather events are associated with thunderstorms. Under the right conditions, rainfall from thunderstorms causes flash flooding and lightning is responsible for equipment damage, fires and fatalities.",Unknown,Unknown,Unknown,Unknown
,NT-11,Tornadoes,"Tornadoes occur in many parts of the world, including the US, Australia, Europe, Africa, Asia, and South America. Tornadoes can happen at any time of year and occur at any time of day or night, but most tornadoes occur between 4–9 p.m. Tornadoes (with winds up to about 300 mph) can destroy all but the best-built man-made structures.",Unknown,Unknown,Unknown,Unknown
,NT-12,Tsunamis,"All tsunamis are potentially dangerous, even though they may not damage every coastline they strike. A tsunami can strike anywhere along most of the US coastline. The most destructive tsunamis have occurred along the coasts of California, Oregon, Washington, Alaska and Hawaii.",Unknown,Unknown,Unknown,Unknown
,NT-13,Volcanoes,"While volcanoes are geographically fixed objects, volcanic fallout can have significant downwind impacts for thousands of miles. Far outside of the blast zone, volcanoes can significantly damage or degrade transportation systems and also cause electrical grids to fail. ",Unknown,Unknown,Unknown,Unknown
,NT-14,Winter Storms & Extreme Cold,"Winter storms is a broad category of meteorological events that include events that range from ice storms, to heavy snowfall, to unseasonably (e.g., record breaking) cold temperatures. Winter storms can significantly impact business operations and transportation systems over a wide geographic region.",Unknown,Unknown,Unknown,Unknown
Man-Made Threat,MT-1,Civil or Political Unrest,"Civil or political unrest can be singular or wide-spread events that can be unexpected and unpredictable. These events can occur anywhere, at any time.",Unknown,Unknown,Unknown,Unknown
,MT-2,Hacking & Other Cybersecurity Crimes,"Unlike physical threats that prompt immediate action (e.g., ""stop, drop, and roll"" in the event of a fire), cyber incidents are often difficult to identify as the incident is occurring. Detection generally occurs after the incident has occurred, with the exception of ""denial of service"" attacks. The spectrum of cybersecurity risks is limitless and threats can have wide-ranging effects on the individual, organizational, geographic, and national levels. ",Unknown,Unknown,Unknown,Unknown
,MT-3,Hazardous Materials Emergencies,Hazardous materials emergencies are focused on accidental disasters that occur in industrialized nations. These incidents can range from industrial chemical spills to groundwater contamination.,Unknown,Unknown,Unknown,Unknown
,MT-4,"Nuclear, Biological and Chemical (NBC) Weapons",The use of NBC weapons are in the possible arsenals of international terrorists and it must be a consideration. Terrorist use of a “dirty bomb” — is considered far more likely than use of a traditional nuclear explosive device. This may be a combination of conventional explosive device with radioactive / chemical / biological material and be designed to scatter lethal and sub-lethal amounts of material over a wide area. ,Unknown,Unknown,Unknown,Unknown
,MT-5,Physical Crime,"Physical crime includes ""traditional"" crimes of opportunity. These incidents can range from theft, to vandalism, riots, looting, arson and other forms of criminal activities.",Unknown,Unknown,Unknown,Unknown
,MT-6,Terrorism & Armed Attacks,"Armed attacks, regardless of the motivation of the attacker, can impact a business. Scenarios can range from single actors (e.g., ""disgruntled"" employee) all the way to a coordinated terrorist attack by multiple assailants. These incidents can range from the use of blade weapons (e.g., knives), blunt objects (e.g., clubs), to firearms and explosives. ",Unknown,Unknown,Unknown,Unknown
,MT-7,Utility Service Disruption,"Utility service disruptions are focused on the sustained loss of electricity, Internet, natural gas, water, and/or sanitation services. These incidents can have a variety of causes but directly impact the fulfillment of utility services that your business needs to operate.",Unknown,Unknown,Unknown,Unknown
,MT-8,Dysfunctional Management Practices,"Dysfunctional management practices are a manmade threat that expose an organization to significant risk. The threat stems from the inability of weak, ineffective and/or incompetent management to (1) make a risk-based decision and (2) support that decision. The resulting risk manifests due to (1) an absence of a required control or (2) a control deficiency. ",Unknown,Unknown,Unknown,Unknown
,MT-9,Human Error,"Human error is a broad category that includes non-malicious actions that are unexpected and unpredictable by humans. These incidents can range from misconfigurations, to misunderstandings or other unintentional accidents.",Unknown,Unknown,Unknown,Unknown
,MT-10,Technical / Mechanical Failure,"Technical /mechanical failure is a broad category that includes non-malicious failure due to a defect in the technology, materials or workmanship. Technical / mechanical failures are unexpected and unpredictable, even when routine and preventative maintenance is performed. These incidents can range from malfunctions, to reliability concerns to catastrophic damage (including loss of life).",Unknown,Unknown,Unknown,Unknown
,MT-11,Statutory / Regulatory / Contractual Obligation,"Laws, regulations and/or contractual obligations that directly or indirectly weaken an organization's security & privacy controls. This includes hostile nation states that leverage statutory and/or regulatory means for economic or political espionage and/or cyberwarfare activities. ",Unknown,Unknown,Unknown,Unknown
,MT-12,"Redundant, Obsolete/Outdated, Toxic or Trivial (ROTT) Data","Redundant, Obsolete/Outdated, Toxic or Trivial (ROTT) data is information an organization utilizes for business processes even though the data is untrustworthy, due to the data's currency, accuracy, integrity and/or applicability.",Unknown,Unknown,Unknown,Unknown
,MT-13,Artificial Intelligence & Autonomous Technologies (AAT),"Artificial Intelligence & Autonomous Technologies (AAT) is a broad category that ranges from non-malicious failure due to a defect in the algorithm to emergent properties or unintended consequences. AAT failures can be due to hardware failures, inherent biases or other flaws in the underlying algorithm. These incidents can range from malfunctions, to reliability concerns to catastrophic damage (including loss of life).",Unknown,Unknown,Unknown,Unknown
,MT-14,"Fraud, Corruption and/or Willful Criminal Conduct","Willful criminal conduct is a broad category that includes consciously-committed criminal acts performed by individuals (e.g., mens rea). These incidents can include a wide-range of activities that includes fraud, corruption, theft and illegal content. Criminal conduct generally involves one of the following kinds of mens rea: (1) intent, (2) knowledge, (3) recklessness and/or (4) negligence.",Unknown,Unknown,Unknown,Unknown
,MT-15,Conflict of Interest (COI),Conflict of Interest (COI) is a broad category but pertains to an ethical incompatibility. COI exist when (1) the concerns or goals of different parties are incompatible or (2) a person in a decision-making position is able to derive personal benefit from actions taken or decisions made in their official capacity.,Unknown,Unknown,Unknown,Unknown
,MT-16,Macroeconomics,"Macroeconomic factors that can negatively affect the global supply chain. Macroeconomic factors directly impact unemployment rates, interest rates, exchange rates and commodity prices. Due to how fiscal and monetary policies can negatively affect the global supply chain, this can disrupt or degrade an organization's business operations.",Unknown,Unknown,Unknown,Unknown
,MT-17,"Foreign Ownership, Control, or Influence (FOCI)","Foreign Ownership, Control, or Influence (FOCI) is a Supply Chain Risk Management (SCRM) threat category that pertains to the ownership of, control of, or influence over an organization. Primarily, the concern is if a foreign interest (e.g., foreign government or parties owned or controlled by a foreign government) has the direct or indirect ability to influence decisions that affect the management or operations of the organization.",Unknown,Unknown,Unknown,Unknown
,MT-18,Geopolitical,"Geopolitical is a Supply Chain Risk Management (SCRM) threat category that pertains to a specific geographic location, or region of relevance, that affects the supply chain. Primarily, the concern is if a foreign state can affect the supply chain through political intervention within the host nation.",Unknown,Unknown,Unknown,Unknown
,MT-19,Sanctions,"Sanctions is a Supply Chain Risk Management (SCRM) threat category that pertains to past or present fraudulent activity or corruption. Primarily, the concern is if the third-party is subject to suspension, exclusion or other sanctions that can affect the supply chain.",Unknown,Unknown,Unknown,Unknown
,MT-20,Counterfeit / Non-Conforming Products,"Counterfeit / Non-Conforming Products is a Supply Chain Risk Management (SCRM) threat category that pertains to the integrity of components within the supply chain. Counterfeits are products introduced to the supply chain that falsely claim to be produced by the legitimate Original Equipment Manufacturer (OEM), whereas non-conforming are OEM products / materials that fail to meet the customer specifications. Both can have a detrimental effect on the supply chain.",Unknown,Unknown,Unknown,Unknown
,MT-21,Operational Environment,"Operational Environment is a Supply Chain Risk Management (SCRM) threat category that pertains to the user environment (e.g., place of performance). Primarily, the concern is if the operational environment is hazardous that could expose the organization operationally or financially.",Unknown,Unknown,Unknown,Unknown
,MT-22,Supply Chain Interdependencies,"Supply Chain Interdependencies is a Supply Chain Risk Management (SCRM) threat category pertaining to interdependencies related to data, systems and mission functions.",Unknown,Unknown,Unknown,Unknown
,MT-23,Third-Party Quality Deficiencies,Third-Party Quality Deficiencies is a Supply Chain Risk Management (SCRM) threat category that provide insights into the ability of the third-party to produce and deliver products and/or services as expected. This includes an understanding of the quality assurance practices associated with preventing mistakes or defects in manufactured/ developed products and avoiding problems when delivering solutions or services to customers.,Unknown,Unknown,Unknown,Unknown
,,,,,,,
Note: These are POSSIBLE threat and the threat catalog is expected to be tailored by the end user for the organization's unique set of obligations. This is not an authoritative list of all applicable threats. You are required to apply critical thought processes when identifying and evaluating threats.,,,,,,,
